ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
,OT-300,,,,,,,,,,,,,,,Studio 5.0 HD LTE,,,,,C609,,,,,,,,,,,,,,,,One XL,T158,,,,,,,,,,,,,,GB250,,,,M2,,,,,Moto E3 Power,,,,,7380,,,,,,,,,,X606,,,,,,,,,Droid Charge I510,,,,,,,J210,,,,,,,,,,,,,,,,,,,,,,,,nubia Z11 mini S
,OT-301,,,,,,,,,,,,,,,Studio 5.0 II,,,,,C102,,,,,,,,,,,,,,,,Ozone,T161L,,,,,,,,,,,,,,GB270,,,,Ninja A54,,,,,Moto E4,,,,,7390,,,,,,,,,,X620,,,,,,,,,DuosTV I6712,,,,,,,K750,,,,,,,,,,,,,,,,,,,,,,,,nubia Z17
,OT-303,,,,,,,,,,,,,,,Studio 5.0 LTE,,,,,C77,,,,,,,,,,,,,,,,P3300,T201,,,,,,,,,,,,,,GB280,,,,Ninja A91,,,,,Moto E4 (USA),,,,,7600,,,,,,,,,,X622,,,,,,,,,E100,,,,,,,D750,,,,,,,,,,,,,,,,,,,,,,,,nubia Z17 lite
,OT-305,,,,,,,,,,,,,,,Studio 5.0 S,,,,,C100,,,,,,,,,,,,,,,,P3350,T208,,,,,,,,,,,,,,GC900 Viewty Smart,,,,Q1,,,,,Moto E4 Plus,,,,,7610,,,,,,,,,,X623,,,,,,,,,E105,,,,,,,J300,,,,,,,,,,,,,,,,,,,,,,,,nubia Z17 mini
,OT-306,,,,,,,,,,,,,,,Studio 5.0 S II,,,,,C555,,,,,,,,,,,,,,,,P3400,T211,,,,,,,,,,,,,,GD310,,,,Q2,,,,,Moto E4 Plus (USA),,,,,7650,,,,,,,,,,X630,,,,,,,,,E1050,,,,,,,K300,,,,,,,,,,,,,,,,,,,,,,,,nubia Z17 miniS
,OT-308,,,,,,,,,,,,,,,Studio 5.3,,,,,C205,,,,,,,,,,,,,,,,P3470,T261L,,,,,,,,,,,,,,GD330,,,,Q3,,,,,Moto E5,,,,,7700,,,,,,,,,,X650,,,,,,,,,E1070,,,,,,,P910,,,,,,,,,,,,,,,,,,,,,,,,nubia Z17s
,OT-310,,,,,,,,,,,,,,,Studio 5.3 II,,,,,C44,,,,,,,,,,,,,,,,P3600,T330,,,,,,,,,,,,,,GD350,,,,Q372 Unite 3,,,,,Moto E5 Cruise,,,,,7710,,,,,,,,,,X703,,,,,,,,,E1080T,,,,,,,K508,,,,,,,,,,,,,,,,,,,,,,,,nubia Z18
,OT-317D,,,,,,,,,,,,,,,Studio 5.3 S,,,,,C101,,,,,,,,,,,,,,,,P3600i,T552,,,,,,,,,,,,,,GD510 Pop,,,,Q391 Canvas Doodle 4,,,,,Moto E5 Play,,,,,8210,,,,,,,,,,X710,,,,,,,,,E1085T,,,,,,,K500,,,,,,,,,,,,,,,,,,,,,,,,nubia Z18 mini
,OT-318D,,,,,,,,,,,,,,,Studio 5.5,,,,,C33,,,,,,,,,,,,,,,,P4350,T8300,,,,,,,,,,,,,,GD550 Pure,,,,Q5 fb,,,,,Moto E5 Play Go,,,,,8250,,,,,,,,,,X712,,,,,,,,,E1100,,,,,,,F500i,,,,,,,,,,,,,,,,,,,,,,,,nubia Z20
,OT-330,,,,,,,,,,,,,,,Studio 5.5 HD,,,,,C550,,,,,,,,,,,,,,,,P6300,U1000,,,,,,,,,,,,,,GD580 Lollipop,,,,Q50,,,,,Moto E5 Plus,,,,,8310,,,,,,,,,,X800,,,,,,,,,E1107 Crest Solar,,,,,,,K700,,,,,,,,,,,,,,,,,,,,,,,,nubia Z5
,OT-355,,,,,,,,,,,,,,,Studio 5.5 S,,,,,C66,,,,,,,,,,,,,,,,P6500,U1100,,,,,,,,,,,,,,GD710 Shine II,,,,Q55 Bling,,,,,Moto E6,,,,,8800,,,,,,,,,,X809,,,,,,,,,E1110,,,,,,,P900,,,,,,,,,,,,,,,,,,,,,,,,nubia Z5S
,OT-358,,,,,,,,,,,,,,,Studio 5.5C,,,,,C339,,,,,,,,,,,,,,,,Panache,U120,,,,,,,,,,,,,,GD880 Mini,,,,Q6,,,,,Moto E6 Play,,,,,8810,,,,,,,,,,X810,,,,,,,,,E1117,,,,,,,P800,,,,,,,,,,,,,,,,,,,,,,,,nubia Z5S mini NX403A
,OT-361,,,,,,,,,,,,,,,Studio 6.0 HD,,,,,C10,,,,,,,,,,,,,,,,Paradise,U121,,,,,,,,,,,,,,GD900 Crystal,,,,Q66,,,,,Moto E6 Plus,,,,,8850,,,,,,,,,,X815,,,,,,,,,E1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z5S mini NX405H
,OT-363,,,,,,,,,,,,,,,Studio 6.0 LTE,,,,,C770,,,,,,,,,,,,,,,,Prime,U1250,,,,,,,,,,,,,,GD910,,,,Q7,,,,,Moto G,,,,,8855,,,,,,,,,,Xenium,,,,,,,,,E1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z7
,OT-380,,,,,,,,,,,,,,,Studio 7.0,,,,,C20,,,,,,,,,,,,,,,,Primo,U1270,,,,,,,,,,,,,,GM200 Brio,,,,Q75,,,,,Moto G (2nd gen),,,,,8890,,,,,,,,,,Xenium 9@9,,,,,,,,,E1130B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z7 Max
,OT-383,,,,,,,,,,,,,,,Studio 7.0 II,,,,,C369,,,,,,,,,,,,,,,,Pure,U1310,,,,,,,,,,,,,,GM210,,,,Q80,,,,,Moto G (3rd gen),,,,,8910,,,,,,,,,,Xenium 9@9 ++,,,,,,,,,E1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z7 mini
,OT-385,,,,,,,,,,,,,,,Studio 7.0 LTE,,,,,C88,,,,,,,,,,,,,,,,Radar,U3100,,,,,,,,,,,,,,GM310,,,,Selfie 2 Note Q4601,,,,,Moto G 4G,,,,,9300,,,,,,,,,,Xenium 9@98,,,,,,,,,E1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z9
,OT-505,,,,,,,,,,,,,,,Studio C,,,,,C2000,,,,,,,,,,,,,,,,Raider 4G,U3300,,,,,,,,,,,,,,GM360 Viewty Snap,,,,Selfie 2 Q4311,,,,,Moto G 4G (2nd gen),,,,,9500,,,,,,,,,,Xenium 9@9a,,,,,,,,,E1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z9 Max
,OT-506,,,,,,,,,,,,,,,Studio C 5 + 5,,,,,C007,,,,,,,,,,,,,,,,Rezound,U5510,,,,,,,,,,,,,,GM650s,,,,Spark Vdeo Q415,,,,,Moto G 4G Dual SIM (2nd gen),,,,,1 Plus,,,,,,,,,,Xenium 9@9d,,,,,,,,,E1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nubia Z9 mini
,OT-508A,,,,,,,,,,,,,,,Studio C 5 + 5 LTE,,,,,C999,,,,,,,,,,,,,,,,Rhyme,U5900s,,,,,,,,,,,,,,GM730 Eigen,,,,Superfone Punk A44,,,,,Moto G Dual SIM,,,,,105 (2015),,,,,,,,,,Xenium 9@9e,,,,,,,,,E1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsidian
,OT-565,,,,,,,,,,,,,,,Studio C 8+8,,,,,C777,,,,,,,,,,,,,,,,Rhyme CDMA,U7310,,,,,,,,,,,,,,GM750,,,,Unite 4 plus,,,,,Moto G Dual SIM (2nd gen),,,,,105 (2017),,,,,,,,,,Xenium 9@9f,,,,,,,,,E1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open
,OT-585,,,,,,,,,,,,,,,Studio C 8+8 LTE,,,,,C1,,,,,,,,,,,,,,,,Rider,U7510,,,,,,,,,,,,,,GS106,,,,Vdeo 1,,,,,Moto G Dual SIM (3rd gen),,,,,105 (2019),,,,,,,,,,Xenium 9@9g,,,,,,,,,E1200 Pusha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open C
,OT-595,,,,,,,,,,,,,,,Studio C HD,,,,,C444,,,,,,,,,,,,,,,,S310,U7520,,,,,,,,,,,,,,GS107,,,,Vdeo 2,,,,,Moto G Power,,,,,105 Dual SIM (2015),,,,,,,,,,Xenium 9@9h,,,,,,,,,E1207T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open II
,OT-600,,,,,,,,,,,,,,,Studio C Mini,,,,,C2,,,,,,,,,,,,,,,,S620,U8100,,,,,,,,,,,,,,GS155,,,,Vdeo 3,,,,,Moto G Stylus,,,,,106 (2018),,,,,,,,,,Xenium 9@9i,,,,,,,,,E1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open L
,OT-602,,,,,,,,,,,,,,,Studio C Super Camera,,,,,C225,,,,,,,,,,,,,,,,S630,U8110,,,,,,,,,,,,,,GS190,,,,Vdeo 4,,,,,Moto G Turbo,,,,,107 Dual SIM,,,,,,,,,,Xenium 9@9j,,,,,,,,,E1225 Dual Sim Shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optik
,OT-605,,,,,,,,,,,,,,,Studio Energy,,,,,C111,,,,,,,,,,,,,,,,S710,U8150 IDEOS,,,,,,,,,,,,,,GS200,,,,Vdeo 5,,,,,Moto G4,,,,,108 Dual SIM,,,,,,,,,,Xenium 9@9k,,,,,,,,,E1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orbit
,OT-606 One Touch CHAT,,,,,,,,,,,,,,,Studio Energy 2,,,,,C99,,,,,,,,,,,,,,,,S730,U8180 IDEOS X1,,,,,,,,,,,,,,GS290 Cookie Fresh,,,,Viva A72,,,,,Moto G4 Play,,,,,110 (2019),,,,,,,,,,Xenium 9@9m,,,,,,,,,E1232B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF 100
,OT-660,,,,,,,,,,,,,,,Studio G,,,,,C3,,,,,,,,,,,,,,,,S740,U8220,,,,,,,,,,,,,,GS390 Prime,,,,W900,,,,,Moto G4 Plus,,,,,1110i,,,,,,,,,,Xenium 9@9q,,,,,,,,,E1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF112 HD
,OT-665,,,,,,,,,,,,,,,Studio G HD,,,,,C669,,,,,,,,,,,,,,,,Salsa,U8230,,,,,,,,,,,,,,GS500 Cookie Plus,,,,X098,,,,,Moto G5,,,,,130 (2017),,,,,,,,,,Xenium 9@9r,,,,,,,,,E1260B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF200
,OT-668,,,,,,,,,,,,,,,Studio G HD LTE,,,,,C9,,,,,,,,,,,,,,,,Schubert,U8300,,,,,,,,,,,,,,GT365 Neon,,,,X099,,,,,Moto G5 Plus,,,,,130 Dual SIM,,,,,,,,,,Xenium 9@9s,,,,,,,,,E1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R220
,OT-690,,,,,,,,,,,,,,,Studio G LTE,,,,,C11,,,,,,,,,,,,,,,,Sensation,U8350 Boulder,,,,,,,,,,,,,,GT400 Viewty Smile,,,,X100,,,,,Moto G5S,,,,,1680 classic,,,,,,,,,,Xenium 9@9t,,,,,,,,,E1282T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R221
,OT-706,,,,,,,,,,,,,,,Studio G Max,,,,,C333,,,,,,,,,,,,,,,,Sensation 4G,U8500 IDEOS X2,,,,,,,,,,,,,,GT405,,,,X101,,,,,Moto G5S Plus,,,,,215 Dual SIM,,,,,,,,,,Xenium 9@9u,,,,,,,,,E1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R228
,OT-708 One Touch MINI,,,,,,,,,,,,,,,Studio G Mini,,,,,C6,,,,,,,,,,,,,,,,Sensation XE,U8510 IDEOS X3,,,,,,,,,,,,,,GT500 Puccini,,,,X102,,,,,Moto G6,,,,,220 4G,,,,,,,,,,Xenium 9@9v,,,,,,,,,E1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R228 Dual SIM
,OT-710,,,,,,,,,,,,,,,Studio G Plus,,,,,C509,,,,,,,,,,,,,,,,Sensation XL,U8520 Duplex,,,,,,,,,,,,,,GT505,,,,X111,,,,,Moto G6 Play,,,,,222 Dual SIM,,,,,,,,,,Xenium 9@9w,,,,,,,,,E1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R230
,OT-720,,,,,,,,,,,,,,,Studio G Plus HD,,,,,C5,,,,,,,,,,,,,,,,Shift,U8650 Sonic,,,,,,,,,,,,,,GT540 Optimus,,,,X114,,,,,Moto G6 Plus,,,,,2220 slide,,,,,,,,,,Xenium 9@9z,,,,,,,,,E1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Racer
,OT-799 Play,,,,,,,,,,,,,,,Studio G2,,,,,C7,,,,,,,,,,,,,,,,Smart,U8687 Cronos,,,,,,,,,,,,,,GT550 Encore,,,,X118,,,,,Moto G7,,,,,225 Dual SIM,,,,,,,,,,Xenium F511,,,,,,,,,E200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Racer II
,OT-800 One Touch CHROME,,,,,,,,,,,,,,,Studio G2 HD,,,,,C22,,,,,,,,,,,,,,,,Snap,U8800 IDEOS X5,,,,,,,,,,,,,,GT950 Arena,,,,X11i,,,,,Moto G7 Play,,,,,230 Dual SIM,,,,,,,,,,Xenium K600,,,,,,,,,E200 ECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raise
,OT-800 One Touch Tribe,,,,,,,,,,,,,,,Studio G3,,,,,C347,,,,,,,,,,,,,,,,Status,U8800 Pro,,,,,,,,,,,,,,GU200,,,,X1i,,,,,Moto G7 Plus,,,,,2323 classic,,,,,,,,,,Xenium K700,,,,,,,,,E210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redbull V5 V9180
,OT-802 Wave,,,,,,,,,,,,,,,Studio G4,,,,,C357,,,,,,,,,,,,,,,,Tattoo,U8850 Vision,,,,,,,,,,,,,,GU230 Dimsun,,,,X1i plus,,,,,Moto G7 Power,,,,,2330 classic,,,,,,,,,,Xenium X300,,,,,,,,,E2100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reef
,OT-803,,,,,,,,,,,,,,,Studio J1,,,,,C367,,,,,,,,,,,,,,,,ThunderBolt 4G,U9000 IDEOS X6,,,,,,,,,,,,,,GU285,,,,X215,,,,,Moto G8 Play,,,,,2600 classic,,,,,,,,,,Xenium X501,,,,,,,,,E2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio
,OT-806,,,,,,,,,,,,,,,Studio J2,,,,,C409,,,,,,,,,,,,,,,,Tiara,U9130 Compass,,,,,,,,,,,,,,GU292,,,,X220,,,,,Moto G8 Plus,,,,,2680 slide,,,,,,,,,,Xenium X503,,,,,,,,,E2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S213
,OT-807,,,,,,,,,,,,,,,Studio J5,,,,,C449,,,,,,,,,,,,,,,,Tilt2,U9150,,,,,,,,,,,,,,GW300,,,,X222,,,,,Moto G8 Power,,,,,2700 classic,,,,,,,,,,Xenium X513,,,,,,,,,E215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S302
,OT-808,,,,,,,,,,,,,,,Studio J8,,,,,C517,,,,,,,,,,,,,,,,Titan,Y Max,,,,,,,,,,,,,,GW370 Rumour Plus,,,,X225,,,,,Moto M,,,,,2710 Navigation Edition,,,,,,,,,,Xenium X519,,,,,,,,,E2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sage
,OT-810,,,,,,,,,,,,,,,Studio J8 LTE,,,,,C567,,,,,,,,,,,,,,,,Titan II,Y3 (2017),,,,,,,,,,,,,,GW520,,,,X226+,,,,,Moto Maxx,,,,,2720 Flip,,,,,,,,,,Xenium X520,,,,,,,,,E2210B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salute F350
,OT-810D,,,,,,,,,,,,,,,Studio J8M LTE,,,,,C747,,,,,,,,,,,,,,,,Touch,Y3 (2018),,,,,,,,,,,,,,GW550,,,,X231,,,,,MOTO ME525,,,,,2720 fold,,,,,,,,,,Xenium X523,,,,,,,,,E2230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Score
,OT-813D,,,,,,,,,,,,,,,Studio M HD,,,,,C867,,,,,,,,,,,,,,,,Touch 3G,Y300II,,,,,,,,,,,,,,GW620,,,,X233,,,,,MOTO MT620,,,,,2730 classic,,,,,,,,,,Xenium X530,,,,,,,,,E2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Score M
,OT-813F,,,,,,,,,,,,,,,Studio M LTE,,,,,,,,,,,,,,,,,,,,,Touch Cruise,Y360,,,,,,,,,,,,,,GW820 eXpo,,,,X234+,,,,,MOTO MT716,,,,,3.1 A,,,,,,,,,,Xenium X600,,,,,,,,,E2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skate
,OT-818,,,,,,,,,,,,,,,Studio Max,,,,,,,,,,,,,,,,,,,,,Touch Cruise 09,Y3II,,,,,,,,,,,,,,GW880,,,,X235,,,,,MOTO MT870,,,,,3.1 C,,,,,,,,,,Xenium X700,,,,,,,,,E2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skate Acqua
,OT-819 Soul,,,,,,,,,,,,,,,Studio Mega,,,,,,,,,,,,,,,,,,,,,Touch Diamond,Y5 (2017),,,,,,,,,,,,,,GW910,,,,X246,,,,,Moto X,,,,,3.1 Plus,,,,,,,,,,Xenium X713,,,,,,,,,E230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonata 2
,OT-838,,,,,,,,,,,,,,,Studio Mega (2018),,,,,,,,,,,,,,,,,,,,,Touch Diamond CDMA,Y5 (2019),,,,,,,,,,,,,,GW990,,,,X256,,,,,Moto X (2nd Gen),,,,,3109 classic,,,,,,,,,,Xenium X806,,,,,,,,,E2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonata 4G
,OT-870,,,,,,,,,,,,,,,Studio Mega 2019,,,,,,,,,,,,,,,,,,,,,Touch Diamond2,Y5 lite (2018),,,,,,,,,,,,,,GX F310L,,,,X265,,,,,Moto X Force,,,,,3110 classic,,,,,,,,,,Xenium X830,,,,,,,,,E2350B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speed
,OT-880 One Touch XTRA,,,,,,,,,,,,,,,Studio Mini,,,,,,,,,,,,,,,,,,,,,Touch Diamond2 CDMA,Y5 Prime (2018),,,,,,,,,,,,,,GX200,,,,X266,,,,,Moto X Play,,,,,3110 Evolve,,,,,,,,,,,,,,,,,,,E2370 Xcover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star 1
,OT-888,,,,,,,,,,,,,,,Studio Mini LTE,,,,,,,,,,,,,,,,,,,,,Touch Dual,Y560,,,,,,,,,,,,,,GX300,,,,X267,,,,,Moto X Play Dual SIM,,,,,3120 classic,,,,,,,,,,,,,,,,,,,E250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star 2
,OT-890,,,,,,,,,,,,,,,Studio One,,,,,,,,,,,,,,,,,,,,,Touch HD,Y5II,,,,,,,,,,,,,,GX500,,,,X270,,,,,Moto X Style,,,,,3208c,,,,,,,,,,,,,,,,,,,E251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Style Messanger
,OT-890D,,,,,,,,,,,,,,,Studio One Plus,,,,,,,,,,,,,,,,,,,,,Touch HD T8285,Y6,,,,,,,,,,,,,,Harmony,,,,X271,,,,,Moto X4,,,,,3310 (2017),,,,,,,,,,,,,,,,,,,E2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Style Q
,OT-891 Soul,,,,,,,,,,,,,,,Studio Pro,,,,,,,,,,,,,,,,,,,,,Touch Pro,Y6 (2017),,,,,,,,,,,,,,HB620T,,,,X274,,,,,Moto X5,,,,,3310 3G,,,,,,,,,,,,,,,,,,,E2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tania
,OT-900,,,,,,,,,,,,,,,Studio Selfie 2,,,,,,,,,,,,,,,,,,,,,Touch Pro CDMA,Y6 (2018),,,,,,,,,,,,,,Intuition VS950,,,,X275,,,,,MOTO XT316,,,,,3310 4G,,,,,,,,,,,,,,,,,,,E2550 Monte Slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempo Go
,OT-902,,,,,,,,,,,,,,,Studio Selfie LTE,,,,,,,,,,,,,,,,,,,,,Touch Pro2,Y6 (2019),,,,,,,,,,,,,,Jil Sander Mobile,,,,X276,,,,,MOTO XT615,,,,,3500 classic,,,,,,,,,,,,,,,,,,,E2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempo X
,OT-903,,,,,,,,,,,,,,,Studio Touch,,,,,,,,,,,,,,,,,,,,,Touch Pro2 CDMA,Y6 Prime (2018),,,,,,,,,,,,,,Joy,,,,X277,,,,,MOTO XT702,,,,,3510i,,,,,,,,,,,,,,,,,,,E2652 Champ Duos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U880E
,OT-905,,,,,,,,,,,,,,,Studio View,,,,,,,,,,,,,,,,,,,,,Touch Viva,Y6 Pro,,,,,,,,,,,,,,K10,,,,X278,,,,,MOTO XT882,,,,,3600 slide,,,,,,,,,,,,,,,,,,,E2652W Champ Duos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U900
,OT-906,,,,,,,,,,,,,,,Studio View XL,,,,,,,,,,,,,,,,,,,,,Touch2,Y6 Pro (2019),,,,,,,,,,,,,,K10 (2017),,,,X281,,,,,Moto Z,,,,,3610 fold,,,,,,,,,,,,,,,,,,,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V5 Lux
,OT-908,,,,,,,,,,,,,,,Studio X,,,,,,,,,,,,,,,,,,,,,Trophy,Y625,,,,,,,,,,,,,,K10 (2018),,,,X285,,,,,Moto Z Force,,,,,3710 fold,,,,,,,,,,,,,,,,,,,E310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V821
,OT-908F,,,,,,,,,,,,,,,Studio X Mini,,,,,,,,,,,,,,,,,,,,,TyTN,Y635,,,,,,,,,,,,,,K11 Plus,,,,X286,,,,,Moto Z Play,,,,,3720 classic,,,,,,,,,,,,,,,,,,,E3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V875
,OT-909 One Touch MAX,,,,,,,,,,,,,,,Studio X Plus,,,,,,,,,,,,,,,,,,,,,TyTN II,Y6II Compact,,,,,,,,,,,,,,K20 (2019),,,,X288,,,,,Moto Z2 Force,,,,,5.1 Plus (Nokia X5),,,,,,,,,,,,,,,,,,,E3213 Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V880E
,OT-910,,,,,,,,,,,,,,,Studio X8 HD,,,,,,,,,,,,,,,,,,,,,U Play,Y6s (2019),,,,,,,,,,,,,,K20 plus,,,,X291,,,,,Moto Z2 Play,,,,,5030 XpressRadio,,,,,,,,,,,,,,,,,,,E330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V887
,OT-915,,,,,,,,,,,,,,,Studio X8 HD (2019),,,,,,,,,,,,,,,,,,,,,U Ultra,Y7,,,,,,,,,,,,,,K3,,,,X295,,,,,Moto Z3,,,,,5130 XpressMusic,,,,,,,,,,,,,,,,,,,E340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V889M
,OT-916,,,,,,,,,,,,,,,Studio XL,,,,,,,,,,,,,,,,,,,,,U11,Y7 (2018),,,,,,,,,,,,,,K3 (2017),,,,X2i,,,,,Moto Z3 Play,,,,,5132 XpressMusic,,,,,,,,,,,,,,,,,,,E350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V96
,OT-918,,,,,,,,,,,,,,,Studio XL2,,,,,,,,,,,,,,,,,,,,,U11 Eyes,Y7 (2019),,,,,,,,,,,,,,K30,,,,X2i plus,,,,,Moto Z4,,,,,5140i,,,,,,,,,,,,,,,,,,,E360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vital N9810
,OT-918D,,,,,,,,,,,,,,,Swing,,,,,,,,,,,,,,,,,,,,,U11 Life,Y7 Prime,,,,,,,,,,,,,,K30 (2019),,,,X310,,,,,Moto Z4 Force,,,,,5220 XpressMusic,,,,,,,,,,,,,,,,,,,E370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warp
,OT-978,,,,,,,,,,,,,,,Tango,,,,,,,,,,,,,,,,,,,,,U11+,Y7 Prime (2018),,,,,,,,,,,,,,K4,,,,X321,,,,,Moto Z4 Play,,,,,5235 Comes With Music,,,,,,,,,,,,,,,,,,,E380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warp 4G
,OT-980,,,,,,,,,,,,,,,Tank,,,,,,,,,,,,,,,,,,,,,U12 life,Y7 Prime (2019),,,,,,,,,,,,,,K4 (2017),,,,X322,,,,,MOTOACTV W450,,,,,5310 XpressMusic,,,,,,,,,,,,,,,,,,,E390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warp 7
,OT-983,,,,,,,,,,,,,,,Tank 4.5,,,,,,,,,,,,,,,,,,,,,U12+,Y7 Pro (2018),,,,,,,,,,,,,,K40,,,,X330,,,,,Motocubo A45,,,,,5320 XpressMusic,,,,,,,,,,,,,,,,,,,E400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warp Sequent
,OT-985,,,,,,,,,,,,,,,Tank Xtreme,,,,,,,,,,,,,,,,,,,,,U19e,Y7 Pro (2019),,,,,,,,,,,,,,K40S,,,,X333,,,,,MOTOFONE F3,,,,,5330 Mobile TV Edition,,,,,,,,,,,,,,,,,,,E410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X760
,OT-986,,,,,,,,,,,,,,,Tank Xtreme 2.4,,,,,,,,,,,,,,,,,,,,,Velocity 4G,Y7p,,,,,,,,,,,,,,K41S,,,,X335,,,,,MotoGO EX430,,,,,5330 XpressMusic,,,,,,,,,,,,,,,,,,,E420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X990
,OT-988 Shockwave,,,,,,,,,,,,,,,Tank Xtreme 4.0,,,,,,,,,,,,,,,,,,,,,Velocity 4G Vodafone,Y9 (2018),,,,,,,,,,,,,,K5,,,,X335C,,,,,MotoGO TV EX440,,,,,5500 Sport,,,,,,,,,,,,,,,,,,,E480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X990D
